,experiment_code,enzyme_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
160,C0.22,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,C0.22,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,C0.22,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,C0.22,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,C0.22,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,C0.22,PGK,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1.0,1.0,1.0
166,C0.22,GPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,C0.22,ENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,C0.22,PYK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
169,C0.22,G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,C0.22,PGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,C0.22,GND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,C0.22,RPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,C0.22,RKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,C0.22,TKL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,C0.22,TKL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,C0.22,TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,C0.22,pyr_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,C0.22,dhap_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,C0.22,r5p_c_EX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,C0.30,PGI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,C0.30,PFK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182,C0.30,FBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,C0.30,TPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,C0.30,GAPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
