,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
60,C0.16,13dpg_c,0.0107383,0.0107383,0.0107383,0.0107384,0.0107476,0.011137799999999998,0.013608199999999999,0.014289600000000001,0.0142745
61,C0.16,dhap_c,1.14806,1.14806,1.14806,1.14824,1.16276,1.23427,1.2904,1.3036,1.3030000000000002
62,C0.16,pep_c,0.681983,0.681983,0.681983,0.6819850000000001,0.682048,0.69314,0.774133,0.794914,0.79448
63,C0.16,pyr_c,20.5302,20.5302,20.5302,20.5302,20.5302,20.5707,21.3989,21.6141,21.6102
64,C0.16,pi_c,34.372,34.372,34.372,34.372,34.372,34.372,34.372,34.372,34.372
65,C0.16,6pgl_c,11.0844,11.0846,11.0862,11.1026,11.2642,12.6975,19.0516,21.8516,21.8788
66,C0.16,6pgc_c,3.8898599999999997,3.8898599999999997,3.8898599999999997,3.8898699999999997,3.8900300000000003,3.8968,4.12628,5.10355,5.31342
67,C0.16,ru5p-D_c,0.445995,0.445995,0.445995,0.445996,0.446035,0.446788,0.460397,0.536578,0.559593
68,C0.16,r5p_c,0.9315559999999999,0.9315559999999999,0.9315559999999999,0.931558,0.931593,0.933026,0.960734,1.1185,1.16759
69,C0.16,e4p_c,0.11103800000000001,0.11103800000000001,0.11103800000000001,0.111015,0.11056300000000001,0.10668399999999999,0.090874,0.0926374,0.131884
70,C0.16,xu5p-D_c,1.73774,1.73774,1.73774,1.7377599999999997,1.73806,1.74125,1.79382,2.09213,2.18277
71,C0.16,s7p_c,6.2785,6.2785,6.2785,6.278580000000001,6.2797,6.29019,6.37619,7.3024,11.2792
72,C0.22,atp_c,4.69206,4.69206,4.69206,4.69206,4.69206,4.69206,4.69206,4.69206,4.69206
73,C0.22,adp_c,0.828793,0.828793,0.828793,0.828793,0.828793,0.828793,0.828793,0.828793,0.828793
74,C0.22,nad_c,8.95781,8.95781,8.95781,8.95781,8.95781,8.95781,8.95781,8.95781,8.95781
75,C0.22,nadh_c,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001,0.09145110000000001
76,C0.22,nadp_c,0.0119869,0.0119869,0.0119869,0.0119869,0.0119869,0.0119869,0.0119869,0.0119869,0.0119869
77,C0.22,nadph_c,0.0311842,0.0311842,0.0311842,0.0311842,0.0311842,0.0311842,0.0311842,0.0311842,0.0311842
78,C0.22,3pg_c,8.56823,8.56823,8.56823,8.56824,8.58037,9.41715,11.0499,11.0552,11.05
79,C0.22,2pg_c,0.5195350000000001,0.5195350000000001,0.519536,0.519536,0.5202220000000001,0.570263,0.668551,0.668871,0.668561
80,C0.22,g6p_c,16.4965,16.4965,16.4965,16.4965,16.4965,16.4965,16.4965,16.4965,16.4965
81,C0.22,f6p_c,2.5692,2.5762400000000003,2.64513,3.21575,4.8853800000000005,5.09636,5.106319999999999,5.10647,5.10654
82,C0.22,fdp_c,2.61275,2.61275,2.6128,2.61673,2.73208,3.33503,3.6683,3.66895,3.66733
83,C0.22,g3p_c,0.143599,0.143599,0.1436,0.143627,0.14584,0.16041,0.16958299999999998,0.169599,0.169547
84,C0.22,13dpg_c,0.0178227,0.0178227,0.0178227,0.017824200000000002,0.0179625,0.0199501,0.022787599999999998,0.022796,0.0227857
85,C0.22,dhap_c,1.41149,1.41149,1.41149,1.41163,1.4322700000000002,1.57266,1.6574200000000001,1.65757,1.6571
86,C0.22,pep_c,1.27528,1.27528,1.27528,1.27528,1.27603,1.37499,1.58356,1.58425,1.58362
87,C0.22,pyr_c,22.3826,22.3826,22.3826,22.3826,22.3828,22.6327,23.8898,23.8949,23.8921
88,C0.22,pi_c,43.7746,43.7746,43.7746,43.7746,43.7746,43.7746,43.7746,43.7746,43.7746
89,C0.22,6pgl_c,13.5347,13.5349,13.5365,13.5522,13.7083,15.1223,22.1865,26.5219,26.546999999999997
90,C0.22,6pgc_c,2.8570900000000004,2.8570900000000004,2.8570900000000004,2.8570900000000004,2.85719,2.8633,3.06778,3.6081199999999995,3.69929
91,C0.22,ru5p-D_c,0.450841,0.450841,0.450841,0.450841,0.45085200000000003,0.45133999999999996,0.465562,0.5181720000000001,0.533316
92,C0.22,r5p_c,0.949943,0.949943,0.949943,0.949944,0.949965,0.951026,0.980485,1.09066,1.12305
