,experiment_code,enzyme_code,dG_0,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
5700,C0.30,r5p_c_EX,-108.715,-116.62443985068896,-116.62443985068896,-116.62443985068896,-116.62443985068896,-116.62458261161262,-116.68642400539126,-116.82934950918592,-116.82947155583611,-116.82944339175788
5800,C0.30,r5p_c_EX,-108.715,-118.0395276905583,-118.0395276905583,-118.0395276905583,-118.0395276905583,-118.03955649999999,-118.06776104242142,-118.19150231324424,-118.19204418137419,-118.19202792705364
5900,C0.30,r5p_c_EX,-108.715,-115.77012670099565,-115.77012670099565,-115.77012670099565,-115.77012670099565,-115.77014109461705,-115.78878247797559,-115.9521238081339,-115.9575079730065,-115.9574679355488
6000,C0.30,r5p_c_EX,-108.715,-118.07886173981836,-118.07886173981836,-118.07886173981836,-118.07886173981836,-118.07886741102476,-118.09387326387261,-118.27617354576034,-118.28202192965213,-118.28197490468793
6100,C0.30,r5p_c_EX,-108.715,-115.18361466335013,-115.18361466335013,-115.18361466335013,-115.18361466335013,-115.18363289928025,-115.19962873694041,-115.30213268692133,-115.30576340973607,-115.3057286911661
6200,C0.30,r5p_c_EX,-108.715,-117.82720019990833,-117.82720019990833,-117.82720019990833,-117.82720019990833,-117.82721903150757,-117.84805928447943,-117.98687897849209,-117.98880870745955,-117.98879106430505
6300,C0.30,r5p_c_EX,-108.715,-115.9229293960312,-115.9229293960312,-115.9229293960312,-115.9229293960312,-115.9229293960312,-115.93417698146567,-116.11178044063357,-116.12700783268147,-116.12694551368497
6400,C0.30,r5p_c_EX,-108.715,-116.34792768847933,-116.34792768847933,-116.34792768847933,-116.34792768847933,-116.34792768847933,-116.34954608864074,-116.47822084871042,-116.52085023754017,-116.52079707354548
6500,C0.30,r5p_c_EX,-108.715,-116.91302728482248,-116.91302728482248,-116.91302728482248,-116.91302728482248,-116.91302728482248,-116.92386847043139,-117.08326256236714,-117.0908355378534,-117.09075105128224
6600,C0.30,r5p_c_EX,-108.715,-115.51978617552524,-115.51978617552524,-115.51978617552524,-115.51978617552524,-115.51978617552524,-115.53098671927492,-115.68365567330727,-115.6922110555106,-115.69213678800521
6700,C0.30,r5p_c_EX,-108.715,-117.65971494190032,-117.65971494190032,-117.65971494190032,-117.65971494190032,-117.65971494190032,-117.66108462959555,-117.78104355291308,-117.82248780577245,-117.82243120261111
6800,C0.30,r5p_c_EX,-108.715,-117.85303398757499,-117.85303398757499,-117.85303398757499,-117.85303398757499,-117.85303398757499,-117.85645451742465,-118.02426935191214,-118.05612396246113,-118.0560838978245
6900,C0.30,r5p_c_EX,-108.715,-117.80765137014068,-117.80765137014068,-117.80765137014068,-117.80765137014068,-117.80765137014068,-117.81140671674069,-117.9866553151967,-118.01941208974085,-118.01938885415191
7000,C0.30,r5p_c_EX,-108.715,-115.90827029803799,-115.90827029803799,-115.90827029803799,-115.90827029803799,-115.90827029803799,-115.91411718152841,-116.11448769729431,-116.14198120731027,-116.14196881869674
7100,C0.30,r5p_c_EX,-108.715,-117.3987549632114,-117.3987549632114,-117.3987549632114,-117.3987549632114,-117.3987549632114,-117.40185704817725,-117.4669547818767,-117.47316080477177,-117.47316080477177
7200,C0.30,r5p_c_EX,-108.715,-116.13385337504444,-116.13385337504444,-116.13385337504444,-116.13385337504444,-116.13386580428362,-116.14381403976938,-116.21707162236827,-116.21848944993064,-116.21845341351217
7300,C0.30,r5p_c_EX,-108.715,-117.12178276789545,-117.12178276789545,-117.12178276789545,-117.12178276789545,-117.12178276789545,-117.1309355666296,-117.20648431892036,-117.20828986346574,-117.20826569075231
7400,C0.30,r5p_c_EX,-108.715,-117.03658115253141,-117.03658115253141,-117.03658115253141,-117.03658115253141,-117.0365897879822,-117.046216851024,-117.2243127424843,-117.23966789143614,-117.239596284793
7500,C0.30,r5p_c_EX,-108.715,-115.96134856113781,-115.96134856113781,-115.96134856113781,-115.96134856113781,-115.96138853596585,-116.00007356364637,-116.17521893229814,-116.17696628774004,-116.17692964257998
7600,C0.30,r5p_c_EX,-108.715,-117.03715102776417,-117.03715102776417,-117.03715102776417,-117.03715102776417,-117.03717692807119,-117.07712801300922,-117.26720977406508,-117.26735139884032,-117.26728058746414
7700,C0.30,r5p_c_EX,-108.715,-115.81791072167339,-115.81791072167339,-115.81791072167339,-115.81791072167339,-115.81796719644926,-115.863460633053,-115.99111056246356,-115.9920056901301,-115.99197936745898
7800,C0.30,r5p_c_EX,-108.715,-116.33698148781592,-116.33698148781592,-116.33698148781592,-116.33698148781592,-116.33698148781592,-116.33866426672911,-116.44877552133019,-116.51214807688757,-116.51214807688757
7900,C0.30,r5p_c_EX,-108.715,-117.47489802596228,-117.47489802596228,-117.47489802596228,-117.47489802596228,-117.47489802596228,-117.47651110352723,-117.56747457950992,-117.5918767532319,-117.59177321586758
