,experiment_code,reaction_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
77,C0.22,pyr_c_EX,3.1526099999999997,3.1526099999999997,3.1526099999999997,3.1526099999999997,3.15263,3.18784,3.3649,3.36562,3.3652300000000004
78,C0.22,dhap_c_EX,0.15024200000000001,0.15024200000000001,0.15024200000000001,0.150257,0.152454,0.167397,0.176419,0.17643499999999998,0.176385
79,C0.22,r5p_c_EX,0.032693400000000004,0.032693400000000004,0.032693400000000004,0.0326935,0.0326942,0.0327307,0.0337446,0.0375365,0.038651099999999994
80,C0.30,PGI,19.5152,19.4237,18.5465,12.4112,2.0639,1.51883,1.37323,1.3671799999999998,1.36701
81,C0.30,PFK,1.23274,1.23486,1.25502,1.38937,1.58484,1.51714,1.3737700000000002,1.36791,1.36795
82,C0.30,FBA,1.23252,1.23252,1.23253,1.23376,1.25406,1.30302,1.36564,1.36791,1.36795
83,C0.30,TPI,0.5510109999999999,0.551003,0.5509470000000001,0.5498850000000001,0.537776,0.54619,0.532392,0.531235,0.5313180000000001
84,C0.30,GAPD,1.78426,1.78426,1.78426,1.7843,1.7895599999999998,1.8477299999999999,1.8987,1.8998099999999998,1.89978
85,C0.30,PGK,1.78424,1.78425,1.78426,1.7843,1.7895299999999998,1.8476700000000001,1.8987,1.8998099999999998,1.89978
86,C0.30,GPM,1.78435,1.78434,1.7843,1.78427,1.7850099999999998,1.81275,1.8964,1.8998099999999998,1.89978
87,C0.30,ENO,1.78426,1.78426,1.78427,1.78427,1.78475,1.81065,1.8962599999999998,1.8998099999999998,1.89978
88,C0.30,PYK,1.78425,1.78425,1.78425,1.78425,1.7843200000000001,1.80475,1.89585,1.8998099999999998,1.89978
89,C0.30,G6PDH2r,0.653874,0.653855,0.653662,0.651741,0.633104,0.48985200000000007,0.12132799999999999,0.0414519,0.0414376
90,C0.30,PGL,0.0389578,0.038957900000000004,0.0389589,0.0389686,0.039062099999999995,0.0397505,0.0412726,0.041450400000000005,0.0414376
91,C0.30,GND,0.038948500000000004,0.0389486,0.038949199999999996,0.0389519,0.0389357,0.0393471,0.040656,0.041442400000000004,0.0414374
92,C0.30,RPE,0.00150366,0.00150364,0.00150342,0.00149871,0.00144002,0.00165085,0.00185748,0.00104221,0.000978796
93,C0.30,RKI,0.0374474,0.0374474,0.0374474,0.0374474,0.0374515,0.037556599999999996,0.038581,0.040397300000000004,0.0404585
94,C0.30,TKL1,0.0007819360000000001,0.0007819360000000001,0.000781935,0.000781899,0.000777699,0.0007226310000000001,0.0006579569999999999,0.000673435,0.000509921
95,C0.30,TKL2,0.000704227,0.000702776,0.000688934,0.000595605,0.000448605,0.00041137199999999996,0.000345663,0.000357526,0.00046852300000000004
96,C0.30,TAL,0.0007070860000000001,0.0007020630000000001,0.000654831,0.000365818,4.65815e-06,6.2263e-05,0.000256448,0.000370095,0.000470129
97,C0.30,pyr_c_EX,1.78426,1.78426,1.78426,1.78426,1.78426,1.78903,1.89274,1.8998099999999998,1.89978
98,C0.30,dhap_c_EX,0.681542,0.681542,0.681542,0.681557,0.684824,0.733707,0.8324790000000001,0.836675,0.836636
99,C0.30,r5p_c_EX,0.0366603,0.0366603,0.0366603,0.0366603,0.0366605,0.0366842,0.0375857,0.039719,0.0399484
100,C0.05,PGI,9.54946,9.49961,9.02319,5.7659400000000005,0.566006,0.33821100000000004,0.334702,0.33465,0.33463200000000004
101,C0.05,PFK,0.322981,0.323074,0.323946,0.329086,0.335061,0.334913,0.334808,0.334777,0.334777
102,C0.05,FBA,0.322969,0.322969,0.32295799999999997,0.322909,0.324203,0.334216,0.33476100000000003,0.334777,0.334777
103,C0.05,TPI,0.31139,0.31138299999999997,0.311053,0.30695700000000004,0.30438899999999997,0.32163200000000003,0.322438,0.32245,0.32245
104,C0.05,GAPD,0.634419,0.63442,0.6344390000000001,0.634867,0.641328,0.659103,0.657265,0.65735,0.657347
105,C0.05,PGK,0.6344390000000001,0.634433,0.634433,0.6348520000000001,0.641285,0.659028,0.6572560000000001,0.65735,0.657347
106,C0.05,GPM,0.634483,0.6344770000000001,0.63444,0.6344489999999999,0.635321,0.642843,0.655308,0.657349,0.657347
107,C0.05,ENO,0.634421,0.634421,0.634422,0.634426,0.634948,0.6418050000000001,0.655183,0.657349,0.657347
108,C0.05,PYK,0.634424,0.634424,0.634424,0.634424,0.634454,0.638571,0.6547810000000001,0.657349,0.657347
109,C0.05,G6PDH2r,0.0683939,0.06839210000000001,0.06837439999999999,0.06819739999999999,0.0664793,0.053218499999999995,0.0179337,0.00794315,0.00779387
110,C0.05,PGL,0.006220399999999999,0.00622046,0.00622104,0.00622686,0.00628364,0.00674294,0.00811028,0.00791313,0.00779382
111,C0.05,GND,0.00604531,0.00604531,0.00604531,0.00604528,0.00603978,0.00613288,0.00685341,0.00767398,0.00779331
112,C0.05,RPE,0.00030984400000000004,0.00030984400000000004,0.000309828,0.00030858299999999997,0.000290458,0.00031125900000000004,0.0005906230000000001,0.00027684599999999997,0.00019383400000000001
113,C0.05,RKI,0.00571855,0.00571855,0.00571855,0.00571862,0.00572236,0.00577199,0.00614403,0.00737434,0.00759942
114,C0.05,TKL1,7.70449e-05,7.70449e-05,7.704229999999999e-05,7.69798e-05,7.59167e-05,7.232899999999999e-05,7.75688e-05,0.000125117,0.000121758
115,C0.05,TKL2,0.000166994,0.00016647599999999998,0.000161599,0.00013151799999999998,8.82549e-05,5.60034e-05,4.949520000000001e-05,6.23741e-05,7.18816e-05
116,C0.05,TAL,0.000155453,8.59483e-05,-0.000584723,-0.00551204,-0.013430899999999999,-0.00317294,5.6992e-05,6.37809e-05,7.3019e-05
117,C0.05,pyr_c_EX,0.63442,0.63442,0.63442,0.63442,0.63442,0.634652,0.646951,0.657347,0.657347
118,C0.05,dhap_c_EX,0.011597,0.011597,0.011597,0.0116009,0.0117256,0.012140799999999998,0.0122837,0.012326799999999999,0.012326700000000001
119,C0.05,r5p_c_EX,0.00560616,0.00560616,0.00560616,0.0056061999999999996,0.00560658,0.00561305,0.00581867,0.007201300000000001,0.00747756
120,C0.11,PGI,5.16297,5.1544099999999995,5.07019,4.34639,1.6406900000000002,0.737564,0.733811,0.733266,0.7332489999999999
121,C0.11,PFK,0.7087479999999999,0.708824,0.709563,0.715472,0.732109,0.735214,0.733717,0.733333,0.7333350000000001
122,C0.11,FBA,0.7087399999999999,0.7087399999999999,0.708742,0.7089840000000001,0.714429,0.731542,0.733297,0.733333,0.7333350000000001
123,C0.11,TPI,0.673762,0.673752,0.673691,0.673188,0.672819,0.693425,0.6947220000000001,0.6944779999999999,0.6944819999999999
124,C0.11,GAPD,1.3826399999999999,1.3826399999999999,1.3826399999999999,1.3827200000000002,1.38901,1.42725,1.4283,1.42803,1.4280000000000002
